FID,OBJECTID,Upstream_S,Upstream_I,Upstream_A,Downstream,Downstre_1,Downstre_2,Pipe_ID,Pipe_Geome,Horizontal,Vertical_D,Pipe_Size,Pipe_Lengt,Pipe_Mater,Condition,Comments,Enabled,COMPTYPE,COMPKEY,UNITID,UNITID2,MAINCOMP1,MAINCOMP2,PARLINENO,Date_VERIF,Dbasin,Owner,Picture_ID,Picture__1,Percent_Bl,Pipe_Quant,Pipe_Squas,SurveyDate,Verified_B,Source,Major_Wate,Year_Insta,PIPE_LININ,Downstre_3,Upstream_1,created_us,created_da,last_edite,last_edi_1,Verified_L,DOCID,OUTFALL,Shape_Leng
15,57,E151688.03,4.320000000000000,1,E151688.04,2.180000000000000,1,E151688.03-E151688.04,CR,15.000000000000000,0.000000000000000,15'',31.000000000000000,RCP,U, ,1,31,2014655,E151688.03,E151688.04,29,32, ,,4844,CON, , ,0,0,0,,SW,DM,08,999,0,E151688.04,E151688.03,SW,,GISNORFOLK,10/13/2016 0:00:00,3,STPIPE0480,OF0105805,31.579484101700000
16,64, ,-6.240000000000000,1, ,-6.280000000000000,1, ,BX,72.000000000000000,0.000000000000000,72'',72.000000000000000,RCP,G, ,1,31,2014674, , ,0,0, ,,5403,CON, , ,0,0,0,,SW,ASBLT,08,999,0, , ,SW,,GISNORFOLK,10/18/2016 0:00:00,4,STPIPE0499,OF0105805,76.466627896199995
17,65,E157021,-1.870000000000000,1,E151587,-3.300000000000000,1,E157021-E151587,CR,15.000000000000000,0.000000000000000,15'',34.000000000000000,RCP,U, ,1,31,2014676,E157021,E151587,29,30, ,,5290,CON, , ,0,0,0,,SW,DM,08,999,0,E151587,E157021,SW,,GISNORFOLK,10/13/2016 0:00:00,3,STPIPE0501,OF0105805,23.516073174500001
18,66, ,-5.950000000000000,1, ,0.000000000000000,1, ,BX,72.000000000000000,0.000000000000000,72'',49.000000000000000,RCP,G, ,1,31,2014677, , ,0,0, ,,5403,CON, , ,0,0,0,,SW,ASBLT,08,999,0, , ,SW,,GISNORFOLK,10/18/2016 0:00:00,4,STPIPE0502,OF0105805,80.446881453000003
19,67, ,3.840000000000000,1, ,3.810000000000000,1, ,CR,15.000000000000000,0.000000000000000,15'',17.000000000000000,RCP,U, ,1,31,2014678, , ,0,0, ,,5494,CON, , ,0,0,0,,SW,ASBLT,08,999,0, , ,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0503,OF0105805,16.145988083300001
20,68, ,3.780000000000000,0, ,2.780000000000000,0, ,CR,15.000000000000000,0.000000000000000,15'',75.000000000000000,RCP,G, ,1,31,2014679, , ,0,0, ,,5494,CON, , ,0,0,0,,SW,ASBLT,08,999,0, , ,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0504,OF0105805,60.024370732900003
21,69, ,2.820000000000000,1, ,2.060000000000000,1, ,CR,15.000000000000000,0.000000000000000,15'',67.000000000000000,RCP,U, ,1,31,2014680, , ,0,0, ,,5494,CON, , ,0,0,0,,SW,ASBLT,08,999,0, , ,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0505,OF0105805,67.718286771899997
22,70, ,2.330000000000000,1, ,2.330000000000000,1, ,CR,12.000000000000000,0.000000000000000,12'',13.000000000000000,RCP,U, ,1,31,2014681, , ,0,0, ,,5494,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0506,OF0105805,3.308173762790000
23,71, ,1.970000000000000,0, ,1.400000000000000,1, ,CR,15.000000000000000,0.000000000000000,15'',65.000000000000000,CLAY,G, ,1,31,2014682, , ,0,0, ,,5494,CON, , ,0,0,0,,SW,ASBLT,08,999,0, , ,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0507,OF0105805,19.843765848699999
24,72, ,2.750000000000000,1, ,2.000000000000000,1, ,CR,12.000000000000000,0.000000000000000,12'',53.000000000000000,RCP,U, ,1,31,2014683, , ,0,0, ,,5467,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/10/2016 0:00:00,4,STPIPE0508,OF0105805,20.333595927699999
25,73, ,0.000000000000000,0, ,0.000000000000000,0, ,CR,15.000000000000000,0.000000000000000,15'',260.000000000000000,RCP,G, ,1,31,2014685, , ,0,0, ,,5402,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/13/2016 0:00:00,4,STPIPE0510,OF0105805,73.017982246000003
26,92, ,0.000000000000000,0, ,0.000000000000000,0, ,CR,12.000000000000000,0.000000000000000,12'',14.000000000000000,CI,U, ,1,31,2014720, , ,0,0, ,,5380,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/18/2016 0:00:00,4,STPIPE0598,OF0105805,12.689026296700000
27,94, ,0.000000000000000,1, ,0.000000000000000,0, ,CR,36.000000000000000,0.000000000000000,36'',5.000000000000000,RCP,G, ,1,31,2014722, , ,0,0, ,,5380,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/19/2016 0:00:00,4,STPIPE0600,OF0105805,82.471247458999997
28,95,E151640.01,0.000000000000000,1,E151639,-4.710000000000000,1,E151640.01-E151639,CR,60.000000000000000,0.000000000000000,60'',20.000000000000000,RCP,U, ,1,31,2014723,E151640.01,E151639,32,30, ,,5039,CON, , ,0,0,0,,SW,DM,08,1965,0,E151639,E151640.01,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0601,OF0105805,25.997783160299999
29,98,E151562,0.000000000000000,0,E152110,0.000000000000000,0,E151562-E152110,BX,72.000000000000000,0.000000000000000,72'',138.000000000000000,RCP,G, ,1,31,2014726,E151562,E152110,32,32, ,,5403,CON, , ,0,0,0,,SW,DM,08,999,0,E152110,E151562,SW,,GISNORFOLK,10/19/2016 0:00:00,3,STPIPE0604,OF0105805,141.027353002000010
30,99, ,-4.430000000000000,0, ,0.000000000000000,0, ,CR,36.000000000000000,0.000000000000000,36'',38.000000000000000,RCP,G, ,1,31,2014728, , ,0,0, ,,5380,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/19/2016 0:00:00,4,STPIPE0606,OF0105805,38.259344866200003
31,100,E151578,0.000000000000000,0,E151562,0.000000000000000,0,E151578-E151562,BX,72.000000000000000,0.000000000000000,72'',70.000000000000000,RCP,G, ,1,31,2014729,E151578,E151562,32,32, ,,5403,CON, , ,0,0,0,,SW,DM,08,999,0,E151562,E151578,SW,,GISNORFOLK,10/19/2016 0:00:00,3,STPIPE0607,OF0105805,75.390678306699996
32,101, ,-3.980000000000000,1, ,-3.980000000000000,1, ,CR,28.000000000000000,0.000000000000000,28'',12.000000000000000,RCP,G, ,1,31,2014730, , ,0,0, ,,5380,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/19/2016 0:00:00,4,STPIPE0608,OF0105805,11.478380775200000
33,102, ,-1.600000000000000,0, ,-2.280000000000000,0, ,EL,20.000000000000000,38.000000000000000,20''X38'',18.000000000000000,CMP,G, ,1,31,2014731, , ,0,0, ,,5380,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/18/2016 0:00:00,4,STPIPE0609,OF0105805,16.328543910099999
34,103,E151983.01,0.000000000000000,0,E151982,-0.490000000000000,0,E151983.01-E151982,CR,60.000000000000000,0.000000000000000,60'',116.000000000000000,RCP,G, ,1,31,2014732,E151983.01,E151982,32,30, ,,5298,CON, , ,0,0,0,,SW,DM,08,1965,0,E151982.01,E151983,SW,,GISNORFOLK,10/18/2016 0:00:00,2,STPIPE0610,OF0105805,119.082284781000000
35,104,E151984.01,0.000000000000000,0,E151983.01,0.000000000000000,0,E151984.01-E151983.01,CR,60.000000000000000,0.000000000000000,60'',49.000000000000000,RCP,G, ,1,31,2014733,E151984.01,E151983.01,30,32, ,,5298,CON, , ,0,0,0,,SW,DM,08,1965,0,E151983.01,E151984.01,SW,,GISNORFOLK,10/7/2016 0:00:00,2,STPIPE0611,OF0105805,49.265389109799997
36,105,E152003,-5.300000000000000,0,E152000.01,0.000000000000000,0,E152003-E152000.01,CR,60.000000000000000,0.000000000000000,60'',44.000000000000000,RCP,U, ,1,31,2014736,E152003,E152000.01,30,32, ,,5044,CON, , ,0,0,0,,SW,DM,08,1965,0,E152000.01,E152003,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0614,OF0105805,39.291302312200003
37,106,E152007,3.100000000000000,1,E152006,2.990000000000000,0,E152007-E152006,CR,15.000000000000000,0.000000000000000,15'',18.000000000000000,RCP,F, ,1,31,2014737,E152007,E152006,29,29, ,,5205,CON, , ,0,0,0,,SW,DM,08,1965,0,E152006,E152007,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0615,OF0105805,18.531459306999999
38,107,E155009,3.100000000000000,1,E152007,2.800000000000000,1,E155009-E152007,CR,15.000000000000000,0.000000000000000,15'',23.000000000000000,RCP,U, ,1,31,2014738,E155009,E152007,32,29, ,,5208,CON, , ,0,0,0,,SW,DM,08,1965,0,E152007,E155009,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0616,OF0105805,23.838103389899999
39,108,E155008,3.400000000000000,1,E155009,3.100000000000000,1,E155008-E155009,CR,15.000000000000000,0.000000000000000,15'',29.000000000000000,RCP,U, ,1,31,2014739,E155008,E155009,32,32, ,,5207,CON, , ,0,0,0,,SW,DM,08,1965,0,E155009,E155008,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0617,OF0105805,29.330786568299999
40,109,E155007,3.690000000000000,0,E155008,3.400000000000000,1,E155007-E155008,CR,15.000000000000000,0.000000000000000,15'',29.000000000000000,RCP,G, ,1,31,2014740,E155007,E155008,30,32, ,,5202,CON, , ,0,0,0,,SW,DM,08,1965,0,E155008,E155007,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0618,OF0105805,28.887421179000000
41,110,E152011,4.210000000000000,1,E155007,3.600000000000000,1,E152011-E155007,CR,12.000000000000000,0.000000000000000,12'',5.000000000000000,CLAY,G, ,1,31,2014741,E152011,E155007,32,30, ,,5202,CON, , ,0,0,0,,SW,DM,08,1965,0,E155007,E152011,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0619,OF0105805,3.145267423410000
42,141,E151785,4.420000000000000,0,E151793,4.300000000000000,0,E151785-E151793,CR,18.000000000000000,0.000000000000000,18'',24.000000000000000,RCP,F,HRT LIGHT RAIL,1,31,2014783,E151785,E151793,29,29, ,9/20/2016 0:00:00,4585,CON, , ,0,1,0,,SW,ASBLT,08,2008,0,E151785,E151793,SW,,GISNORFOLK,10/7/2016 0:00:00,5,STPIPE0661,OF0105805,36.265537321799997
