FID,OBJECTID,Upstream_S,Upstream_I,Upstream_A,Downstream,Downstre_1,Downstre_2,Pipe_ID,Pipe_Geome,Horizontal,Vertical_D,Pipe_Size,Pipe_Lengt,Pipe_Mater,Condition,Comments,Enabled,COMPTYPE,COMPKEY,UNITID,UNITID2,MAINCOMP1,MAINCOMP2,PARLINENO,Date_VERIF,Dbasin,Owner,Picture_ID,Picture__1,Percent_Bl,Pipe_Quant,Pipe_Squas,SurveyDate,Verified_B,Source,Major_Wate,Year_Insta,PIPE_LININ,Downstre_3,Upstream_1,created_us,created_da,last_edite,last_edi_1,Verified_L,DOCID,OUTFALL,Shape_Leng
531,12438, ,-2.760000000000000,0, ,-3.100000000000000,0, ,CR,15.000000000000000,0.000000000000000,15'',40.947977369999997,CONC,U, ,1,31,2003198, , ,0,0, ,,4138,CON, , ,0,0,0,,SW,ASBLT,08,1920,0, , ,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016706,E143250,43.932232135100001
532,12439,E143783,-0.090000000000000,0,E143782,-1.250000000000000,0,E143783-E143782,CR,12.000000000000000,0.000000000000000,12'',30.000000000000000,CONC,U, ,1,31,2003199,E143783,E143782,29,32, ,,4088,CON, , ,0,0,0,,SW,DM,08,1920,0,E143782,E143783,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016709,E143250,33.373885827000002
533,12449,E143790,0.000000000000000,0,E143789,1.600000000000000,0,E143790-E143789,CR,8.000000000000000,0.000000000000000,8'',2.000000000000000,CLAY,U, ,1,31,2003208,E143790,E143789,32,29, ,,4145,PRIVATE, , ,0,0,0,,SW,DM,08,1920,0,E143789,E143790,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016720,E143250,20.178577482000001
534,12450,E143815,1.640000000000000,0,E143812,-0.100000000000000,0,E143815-E143812,CR,12.000000000000000,0.000000000000000,12'',20.000000000000000,CONC,U, ,1,31,2003209,E143815,E143812,29,32, ,,4152,CON, , ,0,0,0,,SW,DM,08,1920,0,E143812,E143815,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016722,E143250,36.612336225599996
535,12452,E143817,1.850000000000000,0,E143816,-0.570000000000000,0,E143817-E143816,CR,12.000000000000000,0.000000000000000,12'',20.000000000000000,CONC,U, ,1,31,2003210,E143817,E143816,29,32, ,,4152,CON, , ,0,0,0,,SW,DM,08,1920,0,E143816,E143817,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016724,E143250,19.752756193200000
536,12453,E143806,1.760000000000000,0,E143803,-0.100000000000000,0,E143806-E143803,CR,12.000000000000000,0.000000000000000,12'',50.000000000000000,CONC,U, ,1,31,2337592,E143806,E143803,29,32, ,,4152,CON, , ,0,0,0,,SW,DM,08,1920,0,E143803,E143806,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016725,E143250,48.863180632300001
537,12460, ,0.120000000000000,0, ,-0.230000000000000,0, ,CR,15.000000000000000,0.000000000000000,15'',101.055890870000000,CONC,U, ,1,31,2003224, , ,0,0, ,,4135,CON, , ,0,0,0,,SW,ASBLT,08,1920,0, , ,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016743,E143250,115.195400203999990
538,12467, ,2.000000000000000,0, ,1.500000000000000,0, ,CR,24.000000000000000,0.000000000000000,24'',102.754425960000010,CMP,U, ,1,31,2003229, , ,0,0, ,10/16/2014 0:00:00,4139,CON, , ,0,0,0,,SW,ASBLT,08,999,0, , ,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016750,E143250,158.672489216000000
539,12468, ,2.500000000000000,0, ,2.000000000000000,0, ,CR,15.000000000000000,0.000000000000000,15'',96.223735419999997,CMP,U, ,1,31,2003230, , ,0,0, ,,4200,PRIVATE, , ,0,0,0,,SW,ASBLT,08,999,0, , ,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016751,E143250,80.769645841300004
540,12470,H1445,8.570000000000000,0,H1444,8.960000000000001,0,H1445-H1444,CR,18.000000000000000,0.000000000000000,18'',45.000000000000000,CONC,U, ,1,31,2020261,H1445,H1444,29,29, ,,4177,CON, , ,0,0,0,,SW,DM,05,999,0, , ,SW,,GISNORFOLK,11/3/2016 0:00:00,3,STPIPE016754,OF0109414,47.324154437700003
541,12474,E143818,-2.050000000000000,0,E143816,-2.070000000000000,0,E143818-E143816,RT,60.000000000000000,42.000000000000000,60''X42'',109.000000000000000,CONC,U, ,1,31,2003234,E143818,E143816,30,32, ,,4152,CON, , ,0,0,0,,SW,DM,08,1920,0,E143816,E143818,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016760,E143250,115.480701980000010
542,12475,E143883,2.860000000000000,0,E143882,2.740000000000000,0,E143883-E143882,CR,18.000000000000000,0.000000000000000,18'',50.000000000000000,CONC,U, ,1,31,2003236,E143883,E143882,29,29, ,10/16/2014 0:00:00,4160,CON, , ,0,0,0,,SW,DM,08,1920,0,E143882,E143883,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016763,E143250,44.905066140599999
543,12497,E143419,-1.680000000000000,0,E143818,-2.050000000000000,0,E143419-E143818,RT,60.000000000000000,42.000000000000000,60''X42'',247.655074200000000,CONC,U, ,1,31,2743958,E143419,E143818,29,30, ,10/17/2014 0:00:00,4149,CON, , ,0,0,0,,SW,DM,08,1943,0,E143818,E143419,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016803,E143250,252.174298072000000
544,12498,E143821,-1.670000000000000,0,E143419,-1.680000000000000,0,E143821-E143419,RT,60.000000000000000,42.000000000000000,60''X42'',13.667936090000000,CONC,U, ,1,31,2745038,E143821,E143419,30,29, ,10/17/2014 0:00:00,4031,CON, , ,0,0,0,,SW,DM,08,1920,0,E143419,E143821,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016809,E143250,12.295155313700000
545,12500,E143834,-1.270000000000000,0,E143821,-1.290000000000000,0,E143834-E143821,RT,60.000000000000000,42.000000000000000,60''X42'',9.000000000000000,CONC,U, ,1,31,2744243,E143834,E143821,29,30, ,10/17/2014 0:00:00,4031,CON, , ,0,0,0,,SW,DM,08,1920,0,E143821,E143834,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016811,E143250,9.024246475220000
546,12505,E143419,0.420000000000000,0,E143820,0.280000000000000,0,E143419-E143820,CR,18.000000000000000,0.000000000000000,18'',14.352723440000000,CONC,U, ,1,31,2744008,E143419,E143820,29,29, ,10/17/2014 0:00:00,4149,CON, , ,0,0,0,,SW,DM,08,1943,0,E143820,E143419,SW,,GISNORFOLK,9/26/2016 0:00:00,4,STPIPE016822, ,3.911229035380000
547,12509,E145306,2.500000000000000,0,E145305,2.200000000000000,0,E145306-E145305,CR,18.000000000000000,0.000000000000000,18'',106.661805230000000,CMP,U, ,1,31,2003260,E145306,E145305,32,29, ,10/16/2014 0:00:00,4139,CON, , ,0,0,0,,SW,DM,08,999,0,E145305,E145306,SW,,GISNORFOLK,9/30/2016 0:00:00,3,STPIPE016827,E143250,103.365662220999990
548,12512,E143842,2.540000000000000,0,E143841,-0.360000000000000,0,E143842-E143841,CR,12.000000000000000,0.000000000000000,12'',257.496094350000020,CONC,U, ,1,31,2015700,E143842,E143841,29,29, ,,4213,PRIVATE, , ,0,0,0,,SW,DM,08,999,0,E143841,E143842,SW,,GISNORFOLK,9/30/2016 0:00:00,3,STPIPE016838,E143250,256.334105146000010
549,12525,E143756,5.190000000000000,0,E143755,5.050000000000000,0,E143756-E143755,CR,8.000000000000000,0.000000000000000,8'',11.582531590000000,CLAY,U, ,1,31,2015532,E143756,E143755,32,30, ,,4200,CON, , ,0,0,0,,SW,DM,08,1920,0,E143755,E143756,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016878,E143250,12.281104345199999
550,12526,E143755,1.230000000000000,0,E143752,0.930000000000000,0,E143755-E143752,CR,15.000000000000000,0.000000000000000,15'',145.000000000000000,CONC,U, ,1,31,2015533,E143755,E143752,30,30, ,,4200,CON, , ,0,0,0,,SW,DM,08,1920,0,E143752,E143755,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016879,E143250,147.579397118000000
551,12529,E143826,4.200000000000000,0,E143824,4.000000000000000,0,E143826-E143824,CR,12.000000000000000,0.000000000000000,12'',15.887060060000000,CONC,U, ,1,31,2015709,E143826,E143824,32,29, ,,4288,PRIVATE, , ,0,0,0,,SW,DM,08,1920,0,E143824,E143826,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016890,E143250,99.923030841599996
552,12546,E143800,6.150000000000000,0,E143798,5.710000000000000,0,E143800-E143798,CR,12.000000000000000,0.000000000000000,12'',70.000000000000000,CONC,U, ,1,31,2015726,E143800,E143798,29,30, ,,4087,CON, , ,0,0,0,,SW,DM,08,1920,0,E143798,E143800,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016924,E143250,66.521402452199993
553,12547,E143799,5.930000000000000,0,E143798,5.810000000000000,0,E143799-E143798,CR,12.000000000000000,0.000000000000000,12'',30.000000000000000,CONC,U, ,1,31,2015728,E143799,E143798,29,30, ,,4087,CON, , ,0,0,0,,SW,DM,08,1920,0,E143798,E143799,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016927,E143250,31.110260939600000
554,12555,E143829,5.460000000000000,0,E143823,3.800000000000000,0,E143829-E143823,CR,12.000000000000000,0.000000000000000,12'',228.000000000000000,CONC,U, ,1,31,2346960,E143829,E143823,30,30, ,,4255,CON, , ,0,0,0,,SW,DM,08,999,0,E143823,E143829,SW,,GISNORFOLK,9/30/2016 0:00:00,3,STPIPE016946,E143250,237.096380312000010
555,12556,E143831,7.110000000000000,0,E143829,6.450000000000000,0,E143831-E143829,CR,12.000000000000000,0.000000000000000,12'',10.000000000000000,CONC,U, ,1,31,2015737,E143831,E143829,29,30, ,,4087,CON, , ,0,0,0,,SW,DM,08,1920,0,E143829,E143831,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016950,E143250,5.358192581040000
556,12557,E143760,1.850000000000000,0,E143759,2.040000000000000,0,E143760-E143759,CR,15.000000000000000,0.000000000000000,15'',90.000000000000000,CONC,U, ,1,31,2015739,E143760,E143759,29,29, ,,4183,CON, , ,0,0,0,,SW,DM,08,1920,0,E143759,E143760,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016952,E143250,84.589309066100000
557,12558,E143761,1.840000000000000,0,E143760,1.850000000000000,0,E143761-E143760,CR,15.000000000000000,0.000000000000000,15'',30.000000000000000,CONC,U, ,1,31,2015740,E143761,E143760,30,29, ,,4402,CON, , ,0,0,0,,SW,DM,08,1920,0,E143760,E143761,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016953,E143250,34.046855765200000
558,12559,E143762,1.780000000000000,0,E143761,1.770000000000000,0,E143762-E143761,CR,15.000000000000000,0.000000000000000,15'',20.000000000000000,CONC,U, ,1,31,2015741,E143762,E143761,29,30, ,,4402,CON, , ,0,0,0,,SW,DM,08,1920,0,E143761,E143762,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016954,E143250,33.481696915199997
559,12561,E143832,6.640000000000000,0,E143829,6.350000000000000,0,E143832-E143829,CR,10.000000000000000,0.000000000000000,10'',14.294412940000001,CONC,U, ,1,31,2015744,E143832,E143829,32,30, ,,4087,CON, , ,0,0,0,,SW,DM,08,1920,0,E143829,E143832,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016957,E143250,14.396478447300000
560,12567, ,4.470000000000000,0, ,3.980000000000000,0, ,CR,15.000000000000000,0.000000000000000,15'',42.000000000000000,CONC,U, ,1,31,2015748, , ,0,0, ,,4440,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016964,E143250,40.807353814300001
561,12569,E153770,4.570000000000000,0,E153767,5.890000000000000,0,E153770-E153767,CR,15.000000000000000,0.000000000000000,15'',12.000000000000000,CONC,U, ,1,31,2015753,E153770,E153767,30,30, ,10/21/2014 0:00:00,4402,CON, , ,0,0,0,,SW,DM,08,1965,0,E153767,E153770,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016977,E143250,12.996429797699999
562,12571,E153771,7.990000000000000,0,E153770,5.290000000000000,0,E153771-E153770,CR,15.000000000000000,0.000000000000000,15'',35.000000000000000,CMP,U, ,1,31,2015756,E153771,E153770,30,30, ,,4440,CON, , ,0,0,0,,SW,DM,08,1965,0,E153770,E153771,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE016983,E143250,32.908329675899999
563,12578,H1446,9.460000000000001,0,H1445,8.619999999999999,0,H1446-H1445,CR,15.000000000000000,0.000000000000000,15'',225.000000000000000,CONC,U, ,1,31,2020311,H1446,H1445,29,29, ,,4177,CON, , ,0,0,0,,SW,DM,05,999,0, , ,SW,,GISNORFOLK,11/3/2016 0:00:00,3,STPIPE017012,OF0109414,224.289807413999990
564,12583,E143752,0.930000000000000,0,E143750,0.890000000000000,0,E143752-E143750,CR,15.000000000000000,0.000000000000000,15'',51.000000000000000,CONC,U, ,1,31,2015770,E143752,E143750,30,30, ,,4138,CON, , ,0,0,0,,SW,DM,08,1920,0,E143750,E143752,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017026,E143250,50.875184741600002
565,12585,E143754,3.840000000000000,0,E143752,1.420000000000000,0,E143754-E143752,CR,15.000000000000000,0.000000000000000,15'',19.024061960000001,CI,U, ,1,31,2015773,E143754,E143752,32,30, ,,4253,CON, , ,0,0,0,,SW,DM,08,1920,0,E143752,E143754,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017030,E143250,15.596993642799999
566,12588,E145307,3.500000000000000,0,E145306,2.500000000000000,0,E145307-E145306,CR,15.000000000000000,0.000000000000000,15'',166.718941129999990,CMP,U, ,1,31,2015775,E145307,E145306,29,32, ,10/16/2014 0:00:00,4139,CON, , ,0,0,0,,SW,DM,08,999,0,E145306,E145307,SW,,GISNORFOLK,9/30/2016 0:00:00,3,STPIPE017036,E143250,167.753247496999990
567,12590,H1447,9.840000000000000,0,H1446,9.570000000000000,0,H1447-H1446,CR,12.000000000000000,0.000000000000000,12'',35.000000000000000,CONC,U, ,1,31,2020316,H1447,H1446,29,29, ,,4098,CON, , ,0,0,0,,SW,DM,05,999,0, , ,SW,,GISNORFOLK,11/3/2016 0:00:00,3,STPIPE017038,OF0109414,36.692655805000001
568,12611, ,-1.080000000000000,0, ,0.000000000000000,0, ,RT,60.000000000000000,42.000000000000000,60''X42'',136.000000000000000,RCP,G, ,1,31,2346961, , ,0,0, ,,4235,CON, , ,0,0,0,,SW,ASBLT,08,1920,0, , ,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017081,E143250,133.386641814999990
569,12618, ,3.490000000000000,0, ,1.080000000000000,0, ,CR,12.000000000000000,0.000000000000000,12'',140.987302030000000,CONC,U, ,1,31,2015582, , ,0,0, ,10/17/2014 0:00:00,4294,CON, , ,0,0,0,,SW,ASBLT,08,999,0, , ,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017098,E143250,137.252185257000010
570,12622,E143798,5.460000000000000,0,E143795,5.370000000000000,0,E143798-E143795,CR,15.000000000000000,0.000000000000000,15'',90.000000000000000,CONC,U, ,1,31,2015583,E143798,E143795,30,30, ,,4153,CON, , ,0,0,0,,SW,DM,08,1920,0,E143795,E143798,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017106,E143250,87.058764589000006
571,12624,E143856,0.000000000000000,0,E143854,3.560000000000000,0,E143856-E143854,CR,18.000000000000000,0.000000000000000,18'',2.000000000000000,CONC,U, ,1,31,2015584,E143856,E143854,32,30, ,,4349,CON, , ,0,0,0,,SW,DM,08,1920,0,E143854,E143856,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017108,E143250,14.837053327700000
572,12625,E143854,3.600000000000000,0,E143853,3.490000000000000,0,E143854-E143853,CR,12.000000000000000,0.000000000000000,12'',9.000000000000000,CONC,U, ,1,31,2015585,E143854,E143853,30,32, ,10/17/2014 0:00:00,4349,CON, , ,0,0,0,,SW,DM,08,1920,0,E143853,E143854,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017109,E143250,11.321388744000000
573,12626,E143855,0.000000000000000,0,E143854,3.560000000000000,0,E143855-E143854,CR,18.000000000000000,0.000000000000000,18'',2.000000000000000,CONC,U, ,1,31,2015586,E143855,E143854,32,30, ,,4349,CON, , ,0,0,0,,SW,DM,08,1920,0,E143854,E143855,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017110,E143250,33.785352248800002
574,12644,E143852,-0.420000000000000,0,E143849,-0.890000000000000,0,E143852-E143849,RT,60.000000000000000,42.000000000000000,60''X42'',117.000000000000000,CONC,U, ,1,31,2015793,E143852,E143849,32,30, ,,4289,CON, , ,0,0,0,,SW,DM,08,1920,0,E143849,E143852,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017136,E143250,133.786059717999990
575,12668,E143863,0.650000000000000,0,E143860,-0.220000000000000,0,E143863-E143860,RT,60.000000000000000,42.000000000000000,60''X42'',108.000000000000000,CONC,U, ,1,31,2015812,E143863,E143860,30,30, ,10/14/2014 0:00:00,4226,CON, , ,0,0,0,,SW,DM,08,1920,0,E143860,E143863,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017195,E143250,108.753806004000000
576,12669,E143860,4.630000000000000,0,E143861,4.000000000000000,0,E143860-E143861,CR,12.000000000000000,0.000000000000000,12'',157.238572900000010,CONC,U, ,1,31,2015813,E143860,E143861,30,29, ,,4294,PRIVATE, , ,0,0,0,,SW,DM,08,999,0,E143861,E143860,SW,,GISNORFOLK,9/26/2016 0:00:00,3,STPIPE017196, ,155.613069802000010
577,12670,E143860,-0.220000000000000,0,E143852,-0.420000000000000,0,E143860-E143852,RT,60.000000000000000,42.000000000000000,60''X42'',75.000000000000000,CONC,U, ,1,31,2015814,E143860,E143852,30,32, ,,4294,CON, , ,0,0,0,,SW,DM,08,1920,0,E143852,E143860,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017197,E143250,62.234796943100001
578,12676,E143795,5.290000000000000,0,E143794,2.480000000000000,0,E143795-E143794,CR,15.000000000000000,0.000000000000000,15'',590.000000000000000,CONC,U, ,1,31,2003266,E143795,E143794,30,29, ,,4153,CON, , ,0,0,0,,SW,DM,08,1920,0,E143794,E143795,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017205,E143250,582.874582734000000
579,12706,E143833,6.740000000000000,0,E143829,6.570000000000000,0,E143833-E143829,CR,10.000000000000000,0.000000000000000,10'',15.815809690000000,CONC,U, ,1,31,2015820,E143833,E143829,32,30, ,,4087,CON, , ,0,0,0,,SW,DM,08,1920,0,E143829,E143833,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017239,E143250,11.402130418200001
580,12722, ,4.220000000000000,0, ,3.580000000000000,0, ,CR,12.000000000000000,0.000000000000000,12'',70.842916770000002,CONC,U, ,1,31,2015541, , ,0,0, ,,4087,CON, , ,0,0,0,,SW,ASBLT,08,999,0, , ,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017267,E143250,75.702383777500003
581,12723,E143858,0.000000000000000,0,E143857,6.150000000000000,0,E143858-E143857,CR,6.000000000000000,0.000000000000000,6'',11.292213110000000,CI,U, ,1,31,2015542,E143858,E143857,72,29, ,10/17/2014 0:00:00,4087,CON, , ,0,0,0,,SW,DM,08,1920,0,E143857,E143858,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017268,E143250,18.142285147100001
582,12754,E153764,4.290000000000000,0,E143763,2.500000000000000,1,E153764-E143763,CR,15.000000000000000,0.000000000000000,15'',10.000000000000000,CONC,U, ,1,31,2015847,E153764,E143763,29,29, ,10/21/2014 0:00:00,4402,CON, , ,0,0,0,,SW,DM,08,1965,0,E143763,E153764,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017322,E143250,6.462560052130000
583,12769,E153766,4.470000000000000,0,E153764,4.290000000000000,0,E153766-E153764,CR,15.000000000000000,0.000000000000000,15'',40.000000000000000,CONC,U, ,1,31,2015861,E153766,E153764,30,29, ,10/21/2014 0:00:00,4402,CON, , ,0,0,0,,SW,DM,08,1965,0,E153764,E153766,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017349,E143250,26.663334711499999
584,12772, ,0.000000000000000,0, ,0.000000000000000,0, ,CR,15.000000000000000,0.000000000000000,15'',11.000169939999999,CONC,U, ,1,31,2015862, , ,0,0, ,10/21/2014 0:00:00,4402,CON, , ,0,0,0,,SW,DM,08,1965,0, , ,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017365,E143250,8.379421641710000
585,12775,E153772,7.010000000000000,0,E153770,5.290000000000000,0,E153772-E153770,CR,16.000000000000000,0.000000000000000,16'',20.000000000000000,RCP,G, ,1,31,2015865,E153772,E153770,29,30, ,10/21/2014 0:00:00,4440,CON, , ,0,0,0,,SW,ASBLT,08,2002,0,E153770,E153772,SW,,GISNORFOLK,9/30/2016 0:00:00,5,STPIPE017374,E143250,13.567645418000000
586,12777,E153769,4.700000000000000,0,E153768,4.630000000000000,0,E153769-E153768,CR,15.000000000000000,0.000000000000000,15'',24.000000000000000,RCP,U, ,1,31,2015866,E153769,E153768,29,30, ,,4440,CON, , ,0,0,0,,SW,DM,08,1965,0,E153768,E153769,SW,,GISNORFOLK,9/30/2016 0:00:00,4,STPIPE017376,E143250,22.397173480500001
587,12823,I15545,7.270000000000000,0,I15544,5.540000000000000,0,I15545-I15544,CR,12.000000000000000,0.000000000000000,12'',165.000000000000000,CLAY,U, ,1,31,2020436,I15545,I15544,29,32, ,,4947,CON, , ,0,0,0,,SW,DM,08,999,0, , ,SW,,MOSWALD,6/9/2016 0:00:00,3,STPIPE017485, ,157.684648173999990
588,12861,I15565,7.600000000000000,0,I15562,7.530000000000000,0,I15565-I15562,CR,15.000000000000000,0.000000000000000,15'',35.000000000000000,CONC,U, ,1,31,2020123,I15565,I15562,29,29, ,,5296,PRIVATE, , ,0,0,0,,SW,DM,08,999,0, , ,SW,,MOSWALD,6/9/2016 0:00:00,3,STPIPE017547, ,37.499658465400003
589,12862,H15608,0.000000000000000,0,H15609,0.000000000000000,0,H15608-H15609,CR,12.000000000000000,0.000000000000000,12'',280.000000000000000,CLAY,U, ,1,31,2020124,H15608,H15609,32,32, ,,5113,CON, , ,0,0,0,,SW,DM,08,999,0, , ,SW,,MOSWALD,6/9/2016 0:00:00,2,STPIPE017548, ,73.634947093899996
590,12864,H15296,1.252000000000000,0,H15295,1.231000000000000,0,H15296-H15295,CR,18.000000000000000,0.000000000000000,18'',38.000000000000000,CONC,U, ,1,31,2020125,H15296,H15295,32,29, ,,5296,PRIVATE, , ,0,0,0,,SW,DM,08,999,0, , ,SW,,MOSWALD,6/9/2016 0:00:00,3,STPIPE017553, ,45.021003793699997
591,12873,H16181,1.160000000000000,0,H16180,1.120000000000000,0,H16181-H16180,CR,21.000000000000000,0.000000000000000,21'',4.000000000000000,CONC,U, ,1,31,2020455,H16181,H16180,29,30, ,,5682,CON, , ,0,0,0,,SW,DM,08,1930,0,H16180,H16181,SW,,MOSWALD,6/9/2016 0:00:00,4,STPIPE017566, ,5.587848738540000
592,12874,H16180,1.100000000000000,0,H16179,0.000000000000000,0,H16180-H16179,CR,18.000000000000000,0.000000000000000,18'',9.515849820000000,CONC,U, ,1,31,2020456,H16180,H16179,30,32, ,,5682,CON, , ,0,0,0,,SW,DM,08,1930,0,H16179,H16180,SW,,MOSWALD,6/9/2016 0:00:00,4,STPIPE017567, ,12.242493219600000
593,12876,H16194,4.790000000000000,0,H16193,-0.666000000000000,0,H16194-H16193,CR,12.000000000000000,0.000000000000000,12'',100.000000000000000,CLAY,U, ,1,31,2020457,H16194,H16193,29,32, ,,5682,CON, , ,0,0,0,,SW,DM,08,1930,0,H16193,H16194,SW,,MOSWALD,5/11/2016 0:00:00,4,STPIPE017570, ,99.550271446899998
594,12877,H16185,3.070000000000000,0,H16184,0.000000000000000,0,H16185-H16184,CR,12.000000000000000,0.000000000000000,12'',10.000000000000000,CLAY,U, ,1,31,2020458,H16185,H16184,29,32, ,,5682,CON, , ,0,0,0,,SW,DM,08,1930,0,H16184,H16185,SW,,MOSWALD,6/9/2016 0:00:00,4,STPIPE017571, ,23.728148449500001
595,12878,H16187,0.000000000000000,0,H16185,3.060000000000000,0,H16187-H16185,CR,12.000000000000000,0.000000000000000,12'',13.009772740000001,CLAY,U, ,1,31,2020459,H16187,H16185,32,29, ,,5682,CON, , ,0,0,0,,SW,DM,08,1930,0,H16185,H16187,SW,,MOSWALD,6/9/2016 0:00:00,4,STPIPE017572, ,13.009772750300000
596,12879,H16186,0.000000000000000,0,H16185,3.080000000000000,0,H16186-H16185,CR,12.000000000000000,0.000000000000000,12'',10.227949850000000,CLAY,U, ,1,31,2020460,H16186,H16185,32,29, ,,5682,CON, , ,0,0,0,,SW,DM,08,1930,0,H16185,H16186,SW,,MOSWALD,6/9/2016 0:00:00,4,STPIPE017573, ,10.227949849200000
597,12881,H16216,3.030000000000000,0,H16215,0.000000000000000,0,H16216-H16215,CR,15.000000000000000,0.000000000000000,15'',240.000000000000000,CONC,U, ,1,31,2020462,H16216,H16215,29,32, ,,5787,CON, , ,0,0,0,,SW,DM,08,1930,0,H16215,H16216,SW,,MOSWALD,6/9/2016 0:00:00,4,STPIPE017576, ,235.189613618000010
598,12886,I1681,6.110000000000000,0,I1679,6.010000000000000,0,I1681-I1679,CR,12.000000000000000,0.000000000000000,12'',135.000000000000000,CONC,U, ,1,31,2020513,I1681,I1679,29,29, ,,5819,CON, , ,0,0,0,,SW,DM,08,1945,0,I1679,I1681,SW,,MOSWALD,6/16/2016 0:00:00,4,STPIPE017584, ,128.760209940000010
599,12962,H16214,0.000000000000000,0,H16209,3.790000000000000,0,H16214-H16209,CR,15.000000000000000,0.000000000000000,15'',2.000000000000000,CLAY,U, ,1,31,2020358,H16214,H16209,32,29, ,,5682,CON, , ,0,0,0,,SW,DM,08,1930,0,H16209,H16214,SW,,MOSWALD,6/9/2016 0:00:00,4,STPIPE017726, ,14.798285794800000
600,12964,H16202,6.230000000000000,0,H16201,3.960000000000000,0,H16202-H16201,CR,15.000000000000000,0.000000000000000,15'',90.000000000000000,CONC,U, ,1,31,2020359,H16202,H16201,29,29, ,,5450,CON, , ,0,0,0,,SW,DM,08,1930,0,H16201,H16202,SW,,MOSWALD,6/9/2016 0:00:00,4,STPIPE017729, ,93.239456244099998
601,12965,H16201,3.950000000000000,0,H16200,3.340000000000000,0,H16201-H16200,CR,15.000000000000000,0.000000000000000,15'',17.000000000000000,CONC,U, ,1,31,2020360,H16201,H16200,29,32, ,,5450,CON, , ,0,0,0,,SW,DM,08,1930,0,H16200,H16201,SW,,MOSWALD,5/11/2016 0:00:00,4,STPIPE017731, ,12.369186931800000
602,12971,H16212,4.420000000000000,0,H16211,4.000000000000000,0,H16212-H16211,CR,15.000000000000000,0.000000000000000,15'',30.000000000000000,CLAY,U, ,1,31,2020361,H16212,H16211,29,29, ,,5682,CON, , ,0,0,0,,SW,DM,08,1930,0,H16211,H16212,SW,,MOSWALD,6/9/2016 0:00:00,4,STPIPE017740, ,31.305980408200000
603,12972,H16209,3.790000000000000,0,H16208,2.840000000000000,0,H16209-H16208,CR,15.000000000000000,0.000000000000000,15'',30.000000000000000,CLAY,U, ,1,31,2020362,H16209,H16208,29,29, ,,5682,CON, , ,0,0,0,,SW,DM,08,1930,0,H16208,H16209,SW,,MOSWALD,6/9/2016 0:00:00,4,STPIPE017741, ,26.004111267999999
