FID,OBJECTID,Structure_,Structure1,Type_Code,Rim_Elevat,Invert_Ele,Year_Insta,Lid_Type,Lid_Size,Invert_Typ,Comments,Date_Verif,Verified_B,Easting,Northing,Enabled,AncillaryR,UNITID,COMPTYPE,COMPKEY,CntPipe,SurveyDate,Dbasin,Owner,Collector,Picture_ID,Picture__1,Junction_B,Junction_1,Percent_Bl,Structur_1,Structur_2,Source,Major_Wate,Type_Code_,Condition,created_us,created_da,last_edite,last_edi_1,Verified_L,Structur_3,DOCID,OUTFALL,Medallion,Outfall_Re
15,11680,F143584,GB,24,8.550000000000001,5.730000000000000,1929,ST, ,I,Rim and Invert Assumed,10/22/2012 0:00:00,SW,12131933.329399999000000,3480499.905160000100000,1,0,F143584,29,1998885,1,,3524,CON,CN, , ,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,1401 ANNE STREET,GB014886,E143250,0, 
16,11681,F143580,GB,24,8.220000000000001,5.220000000000000,1929,ST, ,I,Rim and Invert Assumed,10/22/2012 0:00:00,SW,12131895.328900000000000,3480496.905090000000000,1,0,F143580,29,1998888,1,,3524,CON,CN, , ,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,238 E PRINCESS ANNE ROAD,GB014890,E143250,0, 
17,11682,F143579,PICN,50,7.810000000000000,-0.800000000000000,1929,ST, ,I, ,10/22/2012 0:00:00,SW,12131897.329100000000000,3480472.904720000000000,1,0,F143579,32,1998889,4,,3583,CON,CN, , ,0,0,0,CONC,0,DM,08,54,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,238 E PRINCESS ANNE ROAD,PICN014891,E143250,0, 
18,11686,F143575,MH,32,7.410000000000000,-0.830000000000000,1929,ST, ,I,May be buried,10/22/2012 0:00:00,SW,12131805.000800001000000,3480468.311520000000000,1,0,F143575,30,1998891,5,,3532,CON,CN, , ,0,0,0,CONC,0,DM,08,36,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,238 E PRINCESS ANNE ROAD,MH014896,E143250,0, 
19,11687,F143576,GB,24,7.230000000000000,5.030000000000000,1929,ST, ,I,Sediment,10/12/2006 0:00:00,CN,12131821.903100001000000,3480490.231399999900000,1,0,F143576,29,1998892,1,10/12/2006 0:00:00,3528,CON,CN, , ,0,0,0,CONC,0,DM,08,28,G,SW,,GISNORFOLK,9/30/2016 0:00:00,4,238 E PRINCESS ANNE ROAD,GB014897,E143250,0, 
20,11688,F143577,PICN,50,7.400000000000000,4.600000000000000,1929,NA, ,I, ,10/22/2012 0:00:00,SW,12131802.974099999000000,3480488.894720000200000,1,0,F143577,32,2318518,3,,3528,CON,CN, , ,0,0,0,CONC,0,DM,08,54,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,238 E PRINCESS ANNE ROAD,PICN014898,E143250,0, 
21,11692,F143555,MH,32,7.410000000000000,-0.820000000000000,1929,ST, ,I,Rim and Invert Assumed,10/22/2012 0:00:00,SW,12131785.036800001000000,3480463.611820000200000,1,0,F143555,30,1998895,2,,3594,CON,CN, , ,0,0,0,CONC,0,DM,08,36,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,238 E PRINCESS ANNE ROAD,MH014904,E143250,0, 
22,11693,E143321,CBNS,10,6.180000000000000,1.430000000000000,1929,NS,30X19-30,I,"Debris-Minor;Sediment, Throat: H=0.80' L=2.33'",10/9/2006 0:00:00,CN,12129972.267899999000000,3480471.181350000200000,1,0,E143321,29,1998896,0,10/9/2006 0:00:00,3576,CON, , , ,0,0,0,CONC,0,DM,08,11,G,SW,,GISNORFOLK,11/1/2016 0:00:00,4,1110 GRANBY STREET,CBNS014906,E143250,0, 
23,11694,F143589,GB,24,8.289999959999999,4.929999820000000,1929,ST, ,I,Rim and Invert Assumed,10/22/2012 0:00:00,SW,12132034.331100000000000,3480459.070869999900000,1,0,F143589,29,1998899,1,,3584,CON,CN, , ,0,0,0,CONC,0,DM,08,28,U,SW,,MOSWALD,6/9/2016 0:00:00,4,1401 ANNE STREET,GB014911, ,0, 
24,11695,F143545,GB,24,8.029999999999999,3.680000000000000,1929,GR,30X30,I,Debris-Full; Sediment,10/12/2006 0:00:00,CN,12131373.238000000000000,3480466.656000000000000,1,0,F143545,29,1998900,2,10/12/2006 0:00:00,3589,CON,CN, , ,0,0,0,CONC,0,DM,08,28,G,SW,,GISNORFOLK,9/30/2016 0:00:00,4,238 E PRINCESS ANNE ROAD,GB014912,E143250,0, 
25,11696,F143546,GB,24,7.940000000000000,4.750000000000000,1929,GR,30X30,I,Sediment,10/12/2006 0:00:00,CN,12131396.513000000000000,3480464.361010000100000,1,0,F143546,29,1998901,1,10/12/2006 0:00:00,3549,CON,CN, , ,0,0,0,CONC,0,DM,08,28,G,SW,,GISNORFOLK,9/30/2016 0:00:00,4,238 E PRINCESS ANNE ROAD,GB014913,E143250,0, 
26,11697,F143620,MH,32,7.230000000000000,-1.040000000000000,1929,ST, ,I,Box Culvert,10/12/2006 0:00:00,CN,12131791.391000001000000,3480456.184990000000000,1,0,F143620,30,1998902,2,10/12/2006 0:00:00,3594,CON,CN, , ,0,0,0,CONC,0,DM,08,36,G,SW,,GISNORFOLK,9/30/2016 0:00:00,4,238 E PRINCESS ANNE ROAD,MH014914,E143250,0, 
27,11698,F143582,GB,24,7.810000000000000,5.910000000000000,1929,ST, ,I, ,10/22/2012 0:00:00,SW,12131891.329100000000000,3480456.904440000200000,1,0,F143582,29,1998903,1,,3583,CON,CN, , ,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,238 E PRINCESS ANNE ROAD,GB014915,E143250,0, 
