	file_name	city	subtype	uuid	reportRating	Confidence	Reliability	Location (x)	Location (y)	pubmilis	roadTypeNumber	Road Type	datetime	file_dt
3408	/home/jeff/Documents/research/waze_proj/data/11.10.2017.19.53.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	5092145f-9beb-3de1-805f-9ec7348be02f	2	0	5	-76.317735	36.927663	1507764824314	6.0	Primary	2017-10-11 23:33:44.314	2017-10-11 19:53:01
3409	/home/jeff/Documents/research/waze_proj/data/11.10.2017.19.53.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	713f5365-bd06-313f-998b-acffaac9dcb4	2	0	5	-76.316771	36.924063000000004	1507764894981	6.0	Primary	2017-10-11 23:34:54.981	2017-10-11 19:53:01
3410	/home/jeff/Documents/research/waze_proj/data/11.10.2017.19.53.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	7dd9e558-bdf8-39ad-9834-05edbb44acd9	2	0	5	-76.313227	36.920316	1507764931942	6.0	Primary	2017-10-11 23:35:31.942	2017-10-11 19:53:01
3411	/home/jeff/Documents/research/waze_proj/data/11.10.2017.19.53.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	11bbe23f-8b67-30d3-ac97-aa62800b9954	2	1	7	-76.2469	36.950483	1507763886117	6.0	Primary	2017-10-11 23:18:06.117	2017-10-11 19:53:01
3412	/home/jeff/Documents/research/waze_proj/data/09.12.2017.15.16.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	5e242c02-e7d2-354b-b049-a598aa7bc5d7	3	0	5	-76.282593	36.885496	1512848986435	7.0	Secondary	2017-12-09 19:49:46.435	2017-12-09 15:16:01
3413	/home/jeff/Documents/research/waze_proj/data/29.10.2017.17.34.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	a9991e18-a123-3373-a12e-e9a0af53b89d	5	0	5	-76.271289	36.919915	1509311755589	4.0	Ramps	2017-10-29 21:15:55.589	2017-10-29 17:34:01
3414	/home/jeff/Documents/research/waze_proj/data/29.10.2017.17.34.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	3870868d-dfd0-377c-83c8-a751a92add5d	5	0	5	-76.279855	36.897857	1509311938309	6.0	Primary	2017-10-29 21:18:58.309	2017-10-29 17:34:01
3415	/home/jeff/Documents/research/waze_proj/data/29.10.2017.17.34.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	45e5f2f5-b3ee-31de-807d-7f9162c6e802	1	0	5	-76.31311600000001	36.920215	1509312254797	6.0	Primary	2017-10-29 21:24:14.797	2017-10-29 17:34:01
3416	/home/jeff/Documents/research/waze_proj/data/29.10.2017.17.34.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	e556712a-8982-3d1a-862f-010f9669bf91	1	1	7	-76.316753	36.924036	1509312058437	6.0	Primary	2017-10-29 21:20:58.437	2017-10-29 17:34:01
3417	/home/jeff/Documents/research/waze_proj/data/08.11.2017.13.19.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	8e57669e-7343-3bf6-9dbb-7cfaee0e205c	4	0	5	-76.29086099999999	36.856314000000005	1510164096407	2.0	Primary Street	2017-11-08 18:01:36.407	2017-11-08 13:19:01
3418	/home/jeff/Documents/research/waze_proj/data/08.11.2017.13.19.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	0071e554-04ff-38e0-9da9-7d2395ea7dcb	3	1	7	-76.283715	36.883342999999996	1510162683830	2.0	Primary Street	2017-11-08 17:38:03.830	2017-11-08 13:19:01
3419	/home/jeff/Documents/research/waze_proj/data/08.11.2017.13.19.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	b38da545-a1f2-36d9-939d-425af9964701	3	0	5	-76.290918	36.856981	1510164357720	7.0	Secondary	2017-11-08 18:05:57.720	2017-11-08 13:19:01
3420	/home/jeff/Documents/research/waze_proj/data/08.11.2017.13.19.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	6a818854-dde9-301d-80d8-86c33d6f4a6b	3	0	5	-76.277963	36.846365000000006	1510163387541	6.0	Primary	2017-11-08 17:49:47.541	2017-11-08 13:19:01
3421	/home/jeff/Documents/research/waze_proj/data/08.11.2017.13.19.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	d4b5279f-44df-3b68-947b-27b831a01176	3	0	5	-76.30285	36.895703999999995	1510164810550	6.0	Primary	2017-11-08 18:13:30.550	2017-11-08 13:19:01
3422	/home/jeff/Documents/research/waze_proj/data/12.08.2017.11.15.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	dad6d256-a898-3922-be3b-a6a237497a2c	2	0	5	-76.27386899999999	36.854424	1502549364179	6.0	Primary	2017-08-12 14:49:24.179	2017-08-12 11:15:01
3423	/home/jeff/Documents/research/waze_proj/data/12.08.2017.11.15.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	40613421-085c-3223-959c-11c28b188f4d	0	0	5	-76.191896	36.846022	1502550767354	3.0	Freeways	2017-08-12 15:12:47.354	2017-08-12 11:15:01
3424	/home/jeff/Documents/research/waze_proj/data/29.01.2018.17.42.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	49d1e74e-2d31-312a-a54a-933a7b49dde9	2	0	5	-76.196493	36.845838	1517265449254	3.0	Freeways	2018-01-29 22:37:29.254	2018-01-29 17:42:01
3425	/home/jeff/Documents/research/waze_proj/data/01.12.2017.16.52.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	e49829ed-abc6-39df-b9c2-23f752f2576c	0	0	5	-76.209992	36.848421	1512164941196	6.0	Primary	2017-12-01 21:49:01.196	2017-12-01 16:52:01
3426	/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.47.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	582a6cd5-e5c4-3ebe-8a20-bc3ceb909997	2	0	6	-76.292253	36.856909	1507929089217	7.0	Secondary	2017-10-13 21:11:29.217	2017-10-13 17:47:01
3427	/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.47.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	cfb0e3ae-f511-3f9d-92cc-434bbbc66b37	2	2	9	-76.284076	36.882827	1507929088017	7.0	Secondary	2017-10-13 21:11:28.017	2017-10-13 17:47:01
3428	/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.47.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	2e366a66-15e9-3ad2-8aa2-7acbe7cf5111	3	0	5	-76.302968	36.896516999999996	1507929841719	6.0	Primary	2017-10-13 21:24:01.719	2017-10-13 17:47:01
