file_name	city	subtype	uuid	reportRating	Confidence	Reliability	Location (x)	Location (y)	pubmilis	roadTypeNumber	Road Type
/home/jeff/Documents/research/waze_proj/data/26.09.2017.18.19.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	b8eec297-fd5c-345d-9c55-a30cd7956b05	2	0	5	-76.308983	36.941881	1506463607346	1	Streets
/home/jeff/Documents/research/waze_proj/data/07.11.2017.12.33.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	5eb59982-d7d9-3052-807f-a58a09497416	4	1	7	-76.282475	36.885645	1510073871547	7	Secondary
/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.27.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	a3b02fe5-7cf6-3c2f-853f-9004b03ea9b2	2	0	5	-76.283698	36.883341	1507929061618	2	Primary Street
/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.27.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	582a6cd5-e5c4-3ebe-8a20-bc3ceb909997	2	0	5	-76.292253	36.856909	1507929089217	7	Secondary
/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.27.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	0d396ec6-32d6-35bf-974f-72440989ea35	3	0	5	-76.290667	36.854691	1507929314392	7	Secondary
/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.27.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	cfb0e3ae-f511-3f9d-92cc-434bbbc66b37	2	0	6	-76.284076	36.882827	1507929088017	7	Secondary
/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.27.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	2e366a66-15e9-3ad2-8aa2-7acbe7cf5111	3	0	5	-76.302968	36.896517	1507929841719	6	Primary
/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.27.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	6592c92c-b867-3d8d-aa91-8b7203a86355	0	1	7	-76.27711	36.847964	1507928255883	6	Primary
/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.27.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	c8831f04-d00a-3f52-9ead-e68fd0b736f3	3	1	7	-76.277269	36.848008	1507929211938	6	Primary
/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.27.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	f6513c51-1db2-3b34-be3e-ab0ee3b0f559	3	0	5	-76.27785	36.846307	1507929277160	6	Primary
/home/jeff/Documents/research/waze_proj/data/09.11.2017.13.27.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	e54e6187-37e9-3255-893c-794106671a65	1	0	5	-76.293759	36.883413	1510250937040	2	Primary Street
/home/jeff/Documents/research/waze_proj/data/09.11.2017.13.27.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	c520b127-da2a-3b89-8fde-02922a997f55	1	0	6	-76.27697	36.848784	1510251745296	6	Primary
/home/jeff/Documents/research/waze_proj/data/08.11.2017.16.42.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	214ec984-0b16-3ea5-b767-1b4bc987ebcc	2	1	7	-76.261283	36.883576	1510175759449	6	Primary
/home/jeff/Documents/research/waze_proj/data/13.10.2017.19.42.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	24233a8a-e0c6-3947-8707-76698952f9e3	1	0	5	-76.282751	36.885297	1507938028464	7	Secondary
/home/jeff/Documents/research/waze_proj/data/27.09.2017.14.04.01.json	Norfolk, VA	HAZARD_WEATHER_FLOOD	b9af04e5-c5da-3aa6-b078-88107837bace	2	0	5	-76.282237	36.885062	1506534764687	1	Streets
