field_1,file_name,city,subtype,uuid,reportRati,Confidence,Reliabilit,Location (,Location_1,pubmilis,roadTypeNu,Road Type,datetime,file_dt
2238,/home/jeff/Documents/research/waze_proj/data/13.10.2017.18.54.01.json,"Norfolk, VA",HAZARD_WEATHER_FLOOD,cf9962ff-ff7f-350f-8f76-c26af02445bf,1,0,5,-76.278222999999997,36.845962000000000,1507934001037,7.000000000000000,Secondary,2017-10-13 22:33:21.037,2017-10-13 18:54:01
2249,/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.08.01.json,"Norfolk, VA",HAZARD_WEATHER_FLOOD,6592c92c-b867-3d8d-aa91-8b7203a86355,0,0,5,-76.277109999999993,36.847964000000005,1507928255883,6.000000000000000,Primary,2017-10-13 20:57:35.883,2017-10-13 17:08:01
2258,/home/jeff/Documents/research/waze_proj/data/13.10.2017.18.34.01.json,"Norfolk, VA",HAZARD_WEATHER_FLOOD,cf9962ff-ff7f-350f-8f76-c26af02445bf,1,0,5,-76.278222999999997,36.845962000000000,1507934001037,7.000000000000000,Secondary,2017-10-13 22:33:21.037,2017-10-13 18:34:01
2312,/home/jeff/Documents/research/waze_proj/data/13.10.2017.16.34.01.json,"Norfolk, VA",HAZARD_WEATHER_FLOOD,bc79e9eb-ca57-3ab6-9231-4e73cf18769c,4,1,8,-76.277288999999996,36.847955999999996,1507925144470,6.000000000000000,Primary,2017-10-13 20:05:44.470,2017-10-13 16:34:01
2358,/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.32.01.json,"Norfolk, VA",HAZARD_WEATHER_FLOOD,6592c92c-b867-3d8d-aa91-8b7203a86355,0,1,7,-76.277109999999993,36.847964000000005,1507928255883,6.000000000000000,Primary,2017-10-13 20:57:35.883,2017-10-13 17:32:01
2359,/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.32.01.json,"Norfolk, VA",HAZARD_WEATHER_FLOOD,c8831f04-d00a-3f52-9ead-e68fd0b736f3,3,1,8,-76.277268999999990,36.848008000000000,1507929211938,6.000000000000000,Primary,2017-10-13 21:13:31.938,2017-10-13 17:32:01
2360,/home/jeff/Documents/research/waze_proj/data/13.10.2017.17.32.01.json,"Norfolk, VA",HAZARD_WEATHER_FLOOD,f6513c51-1db2-3b34-be3e-ab0ee3b0f559,3,0,5,-76.277850000000001,36.846307000000003,1507929277160,6.000000000000000,Primary,2017-10-13 21:14:37.160,2017-10-13 17:32:01
2375,/home/jeff/Documents/research/waze_proj/data/13.10.2017.16.59.01.json,"Norfolk, VA",HAZARD_WEATHER_FLOOD,6592c92c-b867-3d8d-aa91-8b7203a86355,0,0,5,-76.277109999999993,36.847964000000005,1507928255883,6.000000000000000,Primary,2017-10-13 20:57:35.883,2017-10-13 16:59:01
2380,/home/jeff/Documents/research/waze_proj/data/13.10.2017.18.51.01.json,"Norfolk, VA",HAZARD_WEATHER_FLOOD,cf9962ff-ff7f-350f-8f76-c26af02445bf,1,0,5,-76.278222999999997,36.845962000000000,1507934001037,7.000000000000000,Secondary,2017-10-13 22:33:21.037,2017-10-13 18:51:01
2398,/home/jeff/Documents/research/waze_proj/data/08.11.2017.11.47.01.json,"Norfolk, VA",HAZARD_WEATHER_FLOOD,163749e4-5648-3d20-9c9a-f534ca1285bd,1,0,5,-76.282252999999997,36.850127000000001,1510158590026,2.000000000000000,Primary Street,2017-11-08 16:29:50.026,2017-11-08 11:47:01
2399,/home/jeff/Documents/research/waze_proj/data/08.11.2017.11.41.01.json,"Norfolk, VA",HAZARD_WEATHER_FLOOD,163749e4-5648-3d20-9c9a-f534ca1285bd,1,0,5,-76.282252999999997,36.850127000000001,1510158590026,2.000000000000000,Primary Street,2017-11-08 16:29:50.026,2017-11-08 11:41:01
2485,/home/jeff/Documents/research/waze_proj/data/12.08.2017.10.57.01.json,"Norfolk, VA",HAZARD_WEATHER_FLOOD,dad6d256-a898-3922-be3b-a6a237497a2c,2,0,5,-76.273868999999991,36.854424000000002,1502549364179,6.000000000000000,Primary,2017-08-12 14:49:24.179,2017-08-12 10:57:01
2504,/home/jeff/Documents/research/waze_proj/data/13.10.2017.18.41.01.json,"Norfolk, VA",HAZARD_WEATHER_FLOOD,cf9962ff-ff7f-350f-8f76-c26af02445bf,1,0,5,-76.278222999999997,36.845962000000000,1507934001037,7.000000000000000,Secondary,2017-10-13 22:33:21.037,2017-10-13 18:41:01
2521,/home/jeff/Documents/research/waze_proj/data/09.11.2017.13.44.01.json,"Norfolk, VA",HAZARD_WEATHER_FLOOD,c520b127-da2a-3b89-8fde-02922a997f55,1,2,10,-76.276969999999992,36.848784000000002,1510251745296,6.000000000000000,Primary,2017-11-09 18:22:25.296,2017-11-09 13:44:01
2561,/home/jeff/Documents/research/waze_proj/data/13.10.2017.18.55.01.json,"Norfolk, VA",HAZARD_WEATHER_FLOOD,cf9962ff-ff7f-350f-8f76-c26af02445bf,1,0,5,-76.278222999999997,36.845962000000000,1507934001037,7.000000000000000,Secondary,2017-10-13 22:33:21.037,2017-10-13 18:55:01
2565,/home/jeff/Documents/research/waze_proj/data/08.11.2017.11.40.01.json,"Norfolk, VA",HAZARD_WEATHER_FLOOD,163749e4-5648-3d20-9c9a-f534ca1285bd,1,0,5,-76.282252999999997,36.850127000000001,1510158590026,2.000000000000000,Primary Street,2017-11-08 16:29:50.026,2017-11-08 11:40:01
