Date Time, Water Level, Sigma, O, F, R, L, Quality ,,,,
1/1/2013 7:18,0.033,0.007,0,0,0,0,v,,7:18,0.033,-3.967
1/1/2013 7:24,-0.011,0.007,0,0,0,0,v,,7:24,-0.011,-4.011
1/1/2013 7:30,-0.052,0.005,0,0,0,0,v,,7:30,-0.052,-4.052
1/1/2013 7:36,-0.084,0.004,0,0,0,0,v,,7:36,-0.084,-4.084
1/1/2013 7:42,-0.106,0.003,0,0,0,0,v,,7:42,-0.106,-4.106
1/1/2013 7:48,-0.119,0.001,0,0,0,0,v,,7:48,-0.119,-4.119
1/1/2013 7:54,-0.12,0,0,0,0,0,v,,7:54,-0.12,-4.12
1/1/2013 8:00,-0.116,0.001,0,0,0,0,v,,8:00,-0.116,-4.116
1/1/2013 8:06,-0.1,0.003,0,0,0,0,v,,8:06,-0.1,-4.1
1/1/2013 8:12,-0.077,0.003,0,0,0,0,v,,8:12,-0.077,-4.077
1/1/2013 8:18,-0.053,0.003,0,0,0,0,v,,8:18,-0.053,-4.053
1/1/2013 8:24,-0.029,0.004,0,0,0,0,v,,8:24,-0.029,-4.029
1/1/2013 8:30,-0.001,0.005,0,0,0,0,v,,8:30,-0.001,-4.001
1/1/2013 8:36,0.022,0.003,0,0,0,0,v,,8:36,0.022,-3.978
1/1/2013 8:42,0.036,0.001,0,0,0,0,v,,8:42,0.036,-3.964
1/1/2013 8:48,0.037,0.001,0,0,0,0,v,,8:48,0.037,-3.963
1/1/2013 8:54,0.034,0,0,0,0,0,v,,8:54,0.034,-3.966
1/1/2013 9:00,0.034,0,0,0,0,0,v,,9:00,0.034,-3.966
1/1/2013 9:06,0.035,0,0,0,0,0,v,,9:06,0.035,-3.965
1/1/2013 9:12,0.031,0.001,0,0,0,0,v,,9:12,0.031,-3.969
1/1/2013 9:18,0.03,0,0,0,0,0,v,,9:18,0.03,-3.97
1/1/2013 9:24,0.034,0.001,0,0,0,0,v,,9:24,0.034,-3.966
1/1/2013 9:30,0.042,0.001,0,0,0,0,v,,9:30,0.042,-3.958
1/1/2013 9:36,0.042,0.001,0,0,0,0,v,,9:36,0.042,-3.958
1/1/2013 9:42,0.038,0,0,0,0,0,v,,9:42,0.038,-3.962
