st1,0,0
st1,0.1,0
st1,0.2,0.006
st1,0.3,0.011
st1,0.4,0.017
st1,0.5,0.022
st1,0.6,0.028
st1,0.7,0.033
st1,0.8,0.039
st1,0.9,0.044
st1,1,0.05
st1,1.1,0.061
st1,1.2,0.066
st1,1.3,0.072
st1,1.4,0.077
st1,1.5,0.083
st1,1.6,0.088
st1,1.7,0.094
st1,1.8,0.099
st1,1.9,0.11
st1,2,0.116
st1,2.1,0.121
st1,2.2,0.127
st1,2.3,0.132
st1,2.4,0.143
st1,2.5,0.149
st1,2.6,0.154
st1,2.7,0.16
st1,2.8,0.171
st1,2.9,0.176
st1,3,0.182
st1,3.1,0.187
st1,3.2,0.198
st1,3.3,0.204
st1,3.4,0.209
st1,3.5,0.22
st1,3.6,0.226
st1,3.7,0.231
st1,3.8,0.242
st1,3.9,0.248
st1,4,0.259
st1,4.1,0.264
st1,4.2,0.27
st1,4.3,0.281
st1,4.4,0.287
st1,4.5,0.298
st1,4.6,0.303
st1,4.7,0.314
st1,4.8,0.32
st1,4.9,0.331
st1,5,0.336
st1,5.1,0.347
st1,5.2,0.358
st1,5.3,0.364
st1,5.4,0.375
st1,5.5,0.386
st1,5.6,0.391
st1,5.7,0.402
st1,5.8,0.413
st1,5.9,0.419
st1,6,0.43
st1,6.1,0.441
st1,6.2,0.452
st1,6.3,0.463
st1,6.4,0.468
st1,6.5,0.479
st1,6.6,0.49
st1,6.7,0.501
st1,6.8,0.512
st1,6.9,0.523
st1,7,0.534
st1,7.1,0.545
st1,7.2,0.557
st1,7.3,0.568
st1,7.4,0.579
st1,7.5,0.59
st1,7.6,0.601
st1,7.7,0.612
st1,7.8,0.628
st1,7.9,0.639
st1,8,0.65
st1,8.1,0.661
st1,8.2,0.672
st1,8.3,0.689
st1,8.4,0.7
st1,8.5,0.716
st1,8.6,0.727
st1,8.7,0.744
st1,8.8,0.76
st1,8.9,0.777
st1,9,0.793
st1,9.1,0.81
st1,9.2,0.827
st1,9.3,0.843
st1,9.4,0.865
st1,9.5,0.882
st1,9.6,0.898
st1,9.7,0.915
st1,9.8,0.937
st1,9.9,0.953
st1,10,0.975
st1,10.1,0.997
st1,10.2,1.019
st1,10.3,1.041
st1,10.4,1.069
st1,10.5,1.096
st1,10.6,1.124
st1,10.7,1.152
st1,10.8,1.185
st1,10.9,1.218
st1,11,1.256
st1,11.1,1.295
st1,11.2,1.339
st1,11.3,1.383
st1,11.4,1.438
st1,11.5,1.493
st1,11.6,1.559
st1,11.7,1.692
st1,11.8,1.951
st1,11.9,2.375
st1,12,3.13
st1,12.1,3.653
st1,12.2,3.758
st1,12.3,3.851
st1,12.4,3.929
st1,12.5,3.995
st1,12.6,4.05
st1,12.7,4.094
st1,12.8,4.138
st1,12.9,4.182
st1,13,4.221
st1,13.1,4.254
st1,13.2,4.287
st1,13.3,4.32
st1,13.4,4.347
st1,13.5,4.375
st1,13.6,4.402
st1,13.7,4.43
st1,13.8,4.452
st1,13.9,4.474
st1,14,4.496
st1,14.1,4.518
st1,14.2,4.54
st1,14.3,4.557
st1,14.4,4.579
st1,14.5,4.595
st1,14.6,4.617
st1,14.7,4.634
st1,14.8,4.65
st1,14.9,4.667
st1,15,4.684
st1,15.1,4.706
st1,15.2,4.717
st1,15.3,4.733
st1,15.4,4.75
st1,15.5,4.766
st1,15.6,4.783
st1,15.7,4.794
st1,15.8,4.81
st1,15.9,4.821
st1,16,4.838
st1,16.1,4.849
st1,16.2,4.86
st1,16.3,4.876
st1,16.4,4.887
st1,16.5,4.898
st1,16.6,4.909
st1,16.7,4.92
st1,16.8,4.931
st1,16.9,4.948
st1,17,4.959
st1,17.1,4.97
st1,17.2,4.981
st1,17.3,4.992
st1,17.4,5.003
st1,17.5,5.014
st1,17.6,5.025
st1,17.7,5.036
st1,17.8,5.047
st1,17.9,5.053
st1,18,5.064
st1,18.1,5.075
st1,18.2,5.086
st1,18.3,5.097
st1,18.4,5.102
st1,18.5,5.113
st1,18.6,5.124
st1,18.7,5.13
st1,18.8,5.141
st1,18.9,5.152
st1,19,5.157
st1,19.1,5.168
st1,19.2,5.174
st1,19.3,5.185
st1,19.4,5.19
st1,19.5,5.201
st1,19.6,5.207
st1,19.7,5.218
st1,19.8,5.223
st1,19.9,5.229
st1,20,5.24
st1,20.1,5.246
st1,20.2,5.251
st1,20.3,5.262
st1,20.4,5.268
st1,20.5,5.273
st1,20.6,5.279
st1,20.7,5.29
st1,20.8,5.295
st1,20.9,5.301
st1,21,5.312
st1,21.1,5.317
st1,21.2,5.323
st1,21.3,5.328
st1,21.4,5.339
st1,21.5,5.345
st1,21.6,5.35
st1,21.7,5.356
st1,21.8,5.361
st1,21.9,5.372
st1,22,5.378
st1,22.1,5.383
st1,22.2,5.389
st1,22.3,5.394
st1,22.4,5.405
st1,22.5,5.411
st1,22.6,5.416
st1,22.7,5.422
st1,22.8,5.427
st1,22.9,5.433
st1,23,5.444
st1,23.1,5.449
st1,23.2,5.455
st1,23.3,5.46
st1,23.4,5.466
st1,23.5,5.471
st1,23.6,5.477
st1,23.7,5.488
st1,23.8,5.493
st1,23.9,5.499
st1,24,5.504
st1,24.1,1
